Strain,Replicate,Condition,Day ,Date,Cell Count,,,,,,,,,,,,,,,,AVG/SQ,Multiplication Factor,Cell Density,OD,,,,,,,,,,,
H,1,MX,0,2020-07-18,4,2,2,3,2,1,1,3,4,1,1,1,0,2,3,0,2,1.00E+04,1.88E+04,0.039,,,,,,,,,,,
H,2,MX,0,2020-07-18,3,7,1,1,1,0,1,2,2,3,3,2,3,4,4,2,2,1.00E+04,2.44E+04,0.038,,,,,,,,,,,
H,3,MX,0,2020-07-18,1,1,2,2,3,0,4,2,2,3,1,2,1,1,0,2,2,1.00E+04,1.69E+04,0.029,,,,,,,,,,,
Y,1,MX,0,2020-07-18,2,2,3,0,1,1,1,1,2,2,2,2,1,1,4,1,2,1.00E+04,1.63E+04,0.065,,,,,,,,,,,
Y,2,MX,0,2020-07-18,1,2,3,1,1,1,2,1,1,2,1,1,1,0,0,1,1,1.00E+04,1.19E+04,0.052,,,,,,,,,,,
Y,3,MX,0,2020-07-18,2,4,2,4,1,2,2,0,1,1,4,2,1,3,2,3,2,1.00E+04,2.13E+04,0.014,,,,,,,,,,,
K,1,MX,0,2020-07-18,1,1,3,2,2,5,3,2,5,3,2,3,5,2,1,2,3,1.00E+04,2.63E+04,0.02,,,,,,,,,,,
K,2,MX,0,2020-07-18,7,6,3,2,3,0,4,4,4,3,2,3,7,1,1,3,3,1.00E+04,3.31E+04,0.016,,,,,,,,,,,
K,3,MX,0,2020-07-18,7,1,1,1,2,6,1,4,2,3,2,5,4,3,3,4,3,1.00E+04,3.06E+04,0.037,,,,,,,,,,,
H,1,MX,1,2020-07-19,3,6,5,8,0,3,3,1,4,2,2,0,2,0,2,4,3,1.00E+04,2.81E+04,0.06,,,,,,,,,,,
H,2,MX,1,2020-07-19,8,1,5,4,6,5,0,2,4,4,0,2,2,3,8,4,4,1.00E+04,3.63E+04,0.108,,,,,,,,,,,
H,3,MX,1,2020-07-19,2,10,4,4,9,1,3,4,2,2,6,1,3,0,9,4,4,1.00E+04,4.00E+04,0.079,,,,,,,,,,,
Y,1,MX,1,2020-07-19,4,3,1,3,3,2,3,0,3,5,3,2,0,4,7,0,3,1.00E+04,2.69E+04,0.05,,,,,,,,,,,
Y,2,MX,1,2020-07-19,4,7,3,5,4,4,4,3,3,0,2,5,2,3,1,1,3,1.00E+04,3.19E+04,0.031,,,,,,,,,,,
Y,3,MX,1,2020-07-19,0,3,1,2,4,2,5,2,3,5,1,1,3,3,0,2,2,1.00E+04,2.31E+04,0.037,,,,,,,,,,,
K,1,MX,1,2020-07-19,6,6,3,3,3,6,1,5,5,4,0,2,6,3,1,4,4,1.00E+04,3.63E+04,0.062,,,,,,,,,,,
K,2,MX,1,2020-07-19,2,7,4,11,3,7,8,1,3,5,7,0,4,1,5,5,5,1.00E+04,4.56E+04,0.046,,,,,,,,,,,
K,3,MX,1,2020-07-19,6,8,6,3,6,5,7,3,2,3,3,6,3,4,1,5,4,1.00E+04,4.44E+04,0.058,,,,,,,,,,,
H,1,MX,2,2020-07-20,12,8,9,8,4,5,15,3,6,7,17,10,4,7,9,14,9,1.00E+04,8.63E+04,0.151,,,,,,,,,,,
H,2,MX,2,2020-07-20,14,4,12,12,6,11,13,5,12,3,8,8,11,4,4,14,9,1.00E+04,8.81E+04,0.132,,,,,,,,,,,
H,3,MX,2,2020-07-20,5,5,2,5,1,7,6,6,4,7,4,9,4,2,1,8,5,1.00E+04,4.75E+04,0.109,,,,,,,,,,,
Y,1,MX,2,2020-07-20,1,9,6,12,6,7,4,10,4,5,11,6,2,4,4,4,6,1.00E+04,5.94E+04,0.088,,,,,,,,,,,
Y,2,MX,2,2020-07-20,6,4,5,9,1,5,7,10,8,7,11,2,5,4,8,7,6,1.00E+04,6.19E+04,0.088,,,,,,,,,,,
Y,3,MX,2,2020-07-20,5,4,5,6,6,8,8,4,9,4,5,2,3,3,2,2,5,1.00E+04,4.75E+04,0.101,,,,,,,,,,,
K,1,MX,2,2020-07-20,6,3,8,4,8,9,7,7,7,6,8,4,5,3,13,4,6,1.00E+04,6.38E+04,0.1,,,,,,,,,,,
K,2,MX,2,2020-07-20,17,8,10,4,3,10,10,2,13,11,6,4,7,16,7,15,9,1.00E+04,8.94E+04,0.111,,,,,,,,,,,
K,3,MX,2,2020-07-20,4,6,3,2,11,7,9,4,3,7,4,4,8,5,8,5,6,1.00E+04,5.63E+04,0.101,,,,,,,,,,,
H,1,MX,3,2020-07-21,12,9,18,8,5,8,12,7,13,9,7,11,11,5,7,8,9,1.00E+04,9.38E+04,0.201,,,,,,,,,,,
H,2,MX,3,2020-07-21,13,12,7,14,18,9,10,17,7,9,13,8,11,12,11,15,12,1.00E+04,1.16E+05,0.249,,,,,,,,,,,
H,3,MX,3,2020-07-21,8,9,10,4,8,5,12,8,4,7,13,16,3,13,6,7,8,1.00E+04,8.31E+04,0.204,,,,,,,,,,,
Y,1,MX,3,2020-07-21,11,9,11,11,15,7,7,5,11,10,9,9,18,8,12,7,10,1.00E+04,1.00E+05,0.235,,,,,,,,,,,
Y,2,MX,3,2020-07-21,8,11,11,7,14,12,13,15,8,13,14,10,9,6,13,13,11,1.00E+04,1.11E+05,0.215,,,,,,,,,,,
