Strain,Replicate,Condition,Day ,Date,Cell Count,,,,,,,,,,,,,,,,AVG/SQ,Multiplication Factor,Cell Density,OD,,,,,,,,,,,
Y,3,MX,3,2020-07-21,18,10,8,6,6,5,5,10,5,14,10,9,10,14,11,11,10,1.00E+04,9.50E+04,0.175,,,,,,,,,,,
K,1,MX,3,2020-07-21,15,14,10,9,7,3,4,6,8,10,12,6,6,5,10,12,9,1.00E+04,8.56E+04,0.126,,,,,,,,,,,
K,2,MX,3,2020-07-21,12,9,12,10,11,11,8,16,20,10,8,7,9,18,8,10,11,1.00E+04,1.12E+05,0.13,,,,,,,,,,,
K,3,MX,3,2020-07-21,14,12,5,3,4,4,19,10,3,8,10,8,8,7,8,13,3,1.00E+04,3.00E+04,0.137,,,,,,,,,,,
H,1,MX,4,2020-07-22,19,14,11,15,13,8,14,14,5,15,9,18,12,18,12,12,13,1.00E+04,1.31E+05,0.291,,,,,,,,,,,
H,2,MX,4,2020-07-22,12,18,23,11,24,15,21,20,21,14,15,6,16,14,19,17,17,1.00E+04,1.66E+05,0.328,,,,,,,,,,,
H,3,MX,4,2020-07-22,7,9,13,16,19,14,12,7,15,15,23,11,17,11,19,19,14,1.00E+04,1.42E+05,0.353,,,,,,,,,,,
Y,1,MX,4,2020-07-22,14,15,29,13,15,14,16,16,19,21,12,9,13,11,16,6,15,1.00E+04,1.49E+05,0.315,,,,,,,,,,,
Y,2,MX,4,2020-07-22,13,18,20,16,16,15,21,13,21,21,20,19,11,27,17,12,18,1.00E+04,1.75E+05,0.309,,,,,,,,,,,
Y,3,MX,4,2020-07-22,12,23,15,11,26,14,15,7,24,8,20,`7,9,9,16,11,15,1.00E+04,1.47E+05,0.326,,,,,,,,,,,
K,1,MX,4,2020-07-22,13,9,15,13,16,6,12,7,12,11,11,18,12,11,15,14,12,1.00E+04,1.21E+05,0.169,,,,,,,,,,,
K,2,MX,4,2020-07-22,9,12,8,14,14,10,12,13,7,6,9,10,18,11,15,13,11,1.00E+04,1.15E+05,0.205,,,,,,,,,,,
K,3,MX,4,2020-07-22,12,7,7,10,19,12,10,9,10,9,11,15,7,10,13,11,11,1.00E+04,1.07E+05,0.224,,,,,,,,,,,
H,1,MX,5,2020-07-23,28,25,22,24,30,22,36,32,29,27,25,43,22,21,36,29,28,1.00E+04,2.82E+05,0.39,,,,,,,,,,,
H,2,MX,5,2020-07-23,17,32,25,12,22,25,23,20,31,21,17,28,25,18,27,26,23,1.00E+04,2.35E+05,0.383,,,,,,,,,,,
H,3,MX,5,2020-07-23,16,30,38,20,21,13,27,19,23,33,23,16,19,38,22,24,24,1.00E+04,2.44E+05,0.342,,,,,,,,,,,
Y,1,MX,5,2020-07-23,32,18,19,6,14,23,29,13,13,9,8,8,16,13,10,9,14,1.00E+04,1.39E+05,0.28,,,,,,,,,,,
Y,2,MX,5,2020-07-23,21,10,31,23,12,19,18,24,22,15,14,22,25,18,14,21,19,1.00E+04,1.92E+05,0.334,,,,,,,,,,,
Y,3,MX,5,2020-07-23,21,23,20,23,12,12,22,23,16,22,20,26,15,17,21,19,19,1.00E+04,1.94E+05,0.373,,,,,,,,,,,
K,1,MX,5,2020-07-23,15,10,13,18,16,6,20,11,19,13,19,11,9,12,12,21,14,1.00E+04,1.40E+05,0.186,,,,,,,,,,,
K,2,MX,5,2020-07-23,10,17,25,20,20,21,11,20,13,18,19,19,21,15,24,9,18,1.00E+04,1.81E+05,0.197,,,,,,,,,,,
K,3,MX,5,2020-07-23,10,12,16,14,14,15,8,13,19,17,13,18,13,11,12,6,13,1.00E+04,1.34E+05,0.184,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
