Strain,Replicate,Condition,Day ,Date,Cell Count,,,,,,,,,,,,,,,,AVG/SQ,Multiplication Factor,Cell Density,OD,,,,,,,,,,,
H,2,MX,5,2020-07-17,32,23,23,30,23,31,21,27,21,29,43,19,31,25,25,30,27,1.00E+04,2.67E+05,0.509,,,,,,,,,,,
Y,1,MX,5,2020-07-17,29,33,19,28,20,27,29,30,18,27,20,21,19,27,33,26,25,1.00E+04,2.51E+05,0.419,,,,,,,,,,,
Y,2,MX,5,2020-07-17,25,19,24,16,23,18,28,16,16,19,23,16,18,24,29,19,21,1.00E+04,2.05E+05,0.379,,,,,,,,,,,
K,1,MX,5,2020-07-17,22,26,15,15,13,16,16,12,15,21,16,11,19,13,24,15,16,1.00E+04,1.65E+05,0.319,,,,,,,,,,,
K,3,MX,5,2020-07-17,16,13,9,11,7,18,12,17,7,12,11,16,16,15,13,10,12,1.00E+04,1.25E+05,0.197,,,,,,,,,,,
H,1,MX,6,2020-07-18,28,27,38,26,26,24,39,24,34,16,16,32,30,22,30,30,28,1.00E+04,2.76E+05,0.467,,,,,,,,,,,
H,2,MX,6,2020-07-18,25,19,24,22,29,30,27,23,31,36,27,20,22,39,38,19,27,1.00E+04,2.71E+05,0.443,,,,,,,,,,,
Y,1,MX,6,2020-07-18,13,25,30,24,29,23,27,26,23,24,27,17,28,6,26,15,23,1.00E+04,2.33E+05,0.405,,,,,,,,,,,
Y,2,MX,6,2020-07-18,12,26,12,18,33,19,26,16,20,18,20,18,14,18,22,19,20,1.00E+04,1.99E+05,0.362,,,,,,,,,,,
K,1,MX,6,2020-07-18,27,33,36,38,27,38,39,38,27,38,21,22,34,27,32,20,31,1.00E+04,3.13E+05,0.48,,,,,,,,,,,
K,3,MX,6,2020-07-18,23,15,30,23,21,16,16,21,21,24,23,20,15,18,11,20,20,1.00E+04,1.96E+05,0.326,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
